conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
947173698842320896,Sat Dec 30 18:33:02 +0000 2017,8,The Aura Of Molokini by Victor K https://t.co/89BWPQgE83 #Sunset #Pacific_Ocean #nature #ocean #reflections #landscape #beach #scenery #Molokini #Maui #Hawaii https://t.co/SBuyLOEZYo,947173698842320896,https://pbs.twimg.com/media/DSUJdUNWAAQziT-.jpg,,en,Canada,0,0,4,https://x.com/Victork1001/status/947173698842320896,722156343851790336,Victork1001
947216570371026944,Sat Dec 30 21:23:23 +0000 2017,12,NEW VID! How to Shield Your Energy Protect Your Vibes And Cleanse Your Aura https://t.co/ytGXMQfGpz,947216570371026944,,,en,Everywhere,0,0,3,https://x.com/InfiniteWaters/status/947216570371026944,81191754,InfiniteWaters
947231946517762049,Sat Dec 30 22:24:29 +0000 2017,1,3► 'Aura' (Mugler 2017) by Daphné Bugey Marie Salamagne Amandine Clerc-Marie and Christophe Raynaud for featuring Wolfgang Giesch's Wolfwood linked with Cashmeran &amp; then made collide with the tiger liana greenness of Undecavertol plus an innovate spearmint-eucalyptus effect. https://t.co/7kN76kqOB9,947231946517762049,https://pbs.twimg.com/media/DSU-ZbgWsAAiW7Z.jpg,,en,"Weinheim, Germany",0,0,0,https://x.com/ScentChemistry/status/947231946517762049,375577926,ScentChemistry
947033780241489921,Sat Dec 30 09:17:02 +0000 2017,1,The habit. @ Fitness First Platinum Aura https://t.co/XElJECEAao,947033780241489921,,,en,camelot of pampanga,0,0,0,https://x.com/ytsvan/status/947033780241489921,39855337,ytsvan
947238577305473024,Sat Dec 30 22:50:50 +0000 2017,0,Baby it Brick Outsideee (@ Aura Prestonwood in Dallas TX) https://t.co/i2ivHggbqm,947238577305473024,,,en,"Bronx, NY",0,0,0,https://x.com/OhHeyJeannette/status/947238577305473024,18262261,OhHeyJeannette
947210494720475136,Sat Dec 30 20:59:14 +0000 2017,0,honestly cant wait for my aura cleanse tomorrow its the final step in shedding my negative energy brought from 2017.,947210494720475136,,,en,246-416,0,0,0,https://x.com/anonymitee_____/status/947210494720475136,228873328,anonymitee_____
947222331402936320,Sat Dec 30 21:46:17 +0000 2017,0,Listen to Dead Face Ft. Jay Critch x Shawny Binladen [Prod.by Cash Cobain] by DEE AURA * #np on #SoundCloud https://t.co/wuMiaNrIXE,947222331402936320,,,en,,0,0,0,https://x.com/ROYALFOREVERR/status/947222331402936320,95344269,ROYALFOREVERR
947198309114040323,Sat Dec 30 20:10:49 +0000 2017,0,My spot mustve felt my aura coming today cause they got the oatmeal raisin cookies out freshly baked ,947198309114040323,,,en,757 VA,0,0,0,https://x.com/40URTY/status/947198309114040323,540594969,40URTY
947248422012313600,Sat Dec 30 23:29:57 +0000 2017,1,cant be sarcastic w anyone these days i mean u just joke that someone has a bad aura and suddenly their grandma died,947248422012313600,,,en,25 | minneapolis,0,0,0,https://x.com/didntifade/status/947248422012313600,1014319322,didntifade
947219718980669440,Sat Dec 30 21:35:54 +0000 2017,1,Last Saturday of the year and I m playing @MooMooClubrooms tonight. Time to get the Dance Anthems out in the Aura Room. It s the NYE warm up party. ,947219718980669440,,,en,UK,0,0,1,https://x.com/DjChrisConnor/status/947219718980669440,107258083,DjChrisConnor
